SubjID,Start Date,End Date,Duration (in seconds),Consent,Rule,"If the other player guesses correctly and finds the stickers, who gets to keep them?","If the other player guesses incorrectly and doesn't find the stickers, who gets to keep them?",Trial 1_Hide,Trial 1_Response,Trial 2_Hide,Trial 2_Response,Trial 3_Hide,Trial 3_Response,Trial 4_Hide,Trial 4_Response,"Did you use any strategy during the game? If yes, please describe your strategy below.",coded_response,Age,Gender,stickers_you_total,stickers_them_total,condition,stickers_num
64,11/6/17 9:14,11/6/17 9:18,281,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,1,1,1,1,2,1,2,i tested to see if they would answer where i suggested and then used that to sway the game so we both would benefit,N,31,Female,4,4,cooperation,8
65,11/6/17 9:14,11/6/17 9:18,247,Consent Given,the other player,the other player,me,2,2,1,2,1,2,2,1,I tried to mislead the other person.,Y,35,Female,6,2,competition,8
66,11/6/17 9:14,11/6/17 9:18,259,Consent Given,the other player,the other player,me,1,1,1,1,2,1,1,2,"After the first two rounds, I put the stickers under one cup and told the other player they were under the other cup. ",N,37,Female,4,4,competition,8
67,11/6/17 9:14,11/6/17 9:18,243,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,2,2,2,1,2,1,2,"At first, I told the truth about what cup the stickers were under, hoping they would incorrectly pick the other thinking I was lying. When that didn't work, I put it under one cup and told them it was still the other cup.",Y,24,Female,2,2,cooperation,4
68,11/6/17 9:15,11/6/17 9:18,222,Consent Given,the other player,the other player,me,1,1,1,2,1,2,2,2,"Yes, I tried being honest at first thinking the other player would distrust me and guess incorrectly.  So then I tried being deceptive.  Either way, it appeared random to me as neither strategy was consistent.",Y,42,Male,4,4,competition,8
69,11/6/17 9:14,11/6/17 9:19,289,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,2,1,1,2,2,1,1,2,"Yes, the sticker is being placed in every alternate number starting from number 2",N,20,Male,8,8,cooperation,8
70,11/6/17 9:16,11/6/17 9:19,174,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,2,1,2,1,2,1,"Yes, I told the person they were in the cup that they weren't actually in",N,34,Male,4,4,cooperation,4
71,11/6/17 9:14,11/6/17 9:19,281,Consent Given,the other player,the other player,me,2,2,2,2,2,2,1,1,Honesty,N,39,Male,0,4,competition,4
72,11/6/17 9:15,11/6/17 9:19,233,Consent Given,the other player,the other player,me,2,2,1,1,1,2,1,1,"I was under the assumption that they wouldn't believe me, so I tried to fool them that way. ",Y,29,Male,1,3,competition,4
73,11/6/17 9:15,11/6/17 9:19,245,Consent Given,the other player,the other player,me,1,1,2,2,2,1,2,2,no,,61,Female,2,6,competition,8
74,11/6/17 9:14,11/6/17 9:19,291,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,2,1,2,2,1,1,2,I did not use a strategy expect to tell the other player that stickers were under an empty cup.,N,36,Male,4,4,cooperation,4
75,11/6/17 9:15,11/6/17 9:19,199,Consent Given,the other player,the other player,me,1,2,1,2,2,1,1,2,"Yea, I wanted to trick them so I could get the sticker.",Y,29,Male,4,0,competition,4
76,11/6/17 9:14,11/6/17 9:19,276,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,1,2,2,1,2,1,I told the other player the wrong answer so they would choose the cup without the stickers so we could each have a sticker. I hated to lie to them but that was the only way to accumulate the most stickers.,Y,45,Female,4,4,cooperation,4
77,11/6/17 9:13,11/6/17 9:19,339,Consent Given,the other player,the other player,me,1,1,1,1,2,1,2,2,mostly told the cup the stickers were actually under thinking they would guess the opposite,N,33,Female,2,6,competition,8
78,11/6/17 9:14,11/6/17 9:19,269,Consent Given,the other player,the other player,me,2,2,1,1,2,1,1,1,"I tried to trick the other player, by telling the truth and them thinking I was lieing. It did not work",Y,30,Female,1,3,competition,4
79,11/6/17 9:14,11/6/17 9:19,315,Consent Given,we each get to keep a sticker,we each get to keep a sticker,neither of us gets to keep any stickers,1,1,1,1,2,1,2,1,I tried to set a pattern and then deviate from it.,N,53,Male,2,2,cooperation,4
80,11/6/17 9:14,11/6/17 9:19,314,Consent Given,we each get to keep a sticker,we each get to keep a sticker,we each get to keep a sticker,2,2,1,1,1,1,1,2,"Yes, at first I told them the place where it actually was, hoping they'd think I was lying and pick the other spot.  When it became apparent they would keep guessing the spot I claimed they were at, I picked the spot they weren't so hopefully they would guess wrong.",Y,34,Male,1,1,cooperation,4
81,11/6/17 9:16,11/6/17 9:19,197,Consent Given,we each get to keep a sticker,we each get to keep a sticker,neither of us gets to keep any stickers,1,1,1,1,1,2,1,2,No strategy.,,41,Female,2,2,cooperation,4
82,11/6/17 9:14,11/6/17 9:19,299,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,2,1,2,1,2,1,2,I would always tell the other player the wrong location so we could both win a sticker.,N,45,Male,4,4,cooperation,4
83,11/6/17 9:15,11/6/17 9:19,235,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,1,2,1,2,1,1,2,I just lied about which cup had the stickers under it.,Y,24,Female,3,3,cooperation,4
84,11/6/17 9:14,11/6/17 9:19,302,Consent Given,the other player,the other player,me,1,1,1,1,2,2,2,1,"the other player was trusting. i gained their trust by letting them have the first three right, and then lied knowing that they had my trust.",Y,26,Female,2,6,competition,8
85,11/6/17 9:16,11/6/17 9:19,187,Consent Given,the other player,the other player,the other player,1,2,2,1,1,2,1,2,nice,N,29,Male,8,8,cooperation,8
86,11/6/17 9:15,11/6/17 9:19,254,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,2,2,1,2,1,1,2, we needed to guessing incorrectly so that I would give the other player the wrong cup and hope he understood the rules as well,N,55,Male,4,4,cooperation,4
87,11/6/17 9:14,11/6/17 9:19,286,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,2,1,1,2,2,1,1,2,To tell the other player the opposite cup that the stickers are really inside.,N,29,Male,8,8,cooperation,8
88,11/6/17 9:14,11/6/17 9:19,340,Consent Given,the other player,the other player,me,1,1,2,1,1,2,1,2,"I initially thought that the person would realize it was in my best interest to lie, so I should tell the truth if I wanted them to guess incorrectly. That did not turn out to be the case so I just gave incorrect information throughout the rest of the game.",Y,29,Female,3,1,competition,4
89,11/6/17 9:14,11/6/17 9:19,293,Consent Given,the other player,the other player,me,1,2,1,2,2,1,2,1,I lied about which cup the sticker was in. ,Y,45,Female,8,0,competition,8
90,11/6/17 9:16,11/6/17 9:19,185,Consent Given,the other player,the other player,me,1,1,2,1,1,2,1,2,I just switched back and forth and lied about which cup they were under.,Y,25,Female,6,2,competition,8
91,11/6/17 9:15,11/6/17 9:19,250,Consent Given,the other player,the other player,me,1,1,2,2,2,2,1,2,I tried to tell the truth the first three rounds but he kept wining.,N,34,Female,1,3,competition,4
92,11/6/17 9:14,11/6/17 9:19,325,Consent Given,the other player,the other player,me,2,2,1,1,1,2,2,1,Not really. Other than seeing if the other player would not choose my answer.,N,47,Male,4,4,competition,8
93,11/6/17 9:14,11/6/17 9:19,312,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,1,2,1,1,1,2,1,"not really, just picked a cup.",N,44,Female,2,2,cooperation,4
94,11/6/17 9:15,11/6/17 9:19,258,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,2,2,1,1,2,1,2,2,At first I tried to trick them by being honest.  I figured they wouldn't trust me so I told them it was in the cup it actually was.  But after they guessed right twice in a row I changed my strategy and decided to tell them it was in the opposite cup that it was.,Y,33,Male,2,2,cooperation,8
95,11/6/17 9:15,11/6/17 9:19,293,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,1,1,1,1,2,2,1,"None, just random",N,30,Male,2,2,cooperation,4
96,11/6/17 9:16,11/6/17 9:19,236,Consent Given,the other player,the other player,me,2,1,2,1,1,1,2,1,no just choose a cup at random,N,43,Female,3,1,competition,4
97,11/6/17 9:16,11/6/17 9:19,228,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,1,1,1,1,1,2,1,I was just being honest at first.,N,26,Female,2,2,cooperation,8
98,11/6/17 9:15,11/6/17 9:19,286,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,2,1,2,1,2,1,2,yes i did the same thing every time in hopes the other player would also,N,30,Male,8,8,cooperation,8
99,11/6/17 9:14,11/6/17 9:20,346,Consent Given,me,me,neither of us gets to keep any stickers,2,2,1,2,2,2,1,2,I wanted both me and the other player to earn the same amount of stickers.,N,38,Female,2,2,competition,4
100,11/6/17 9:14,11/6/17 9:20,314,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,2,1,2,1,2,1,2,purposely give the wrong info so the other would take incorrect option and then continue once the other person saw the strategy,Y,68,Male,4,4,cooperation,4
101,11/6/17 9:14,11/6/17 9:20,366,Consent Given,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,we each get to keep a sheet of stickers,2,2,1,2,1,2,1,2,say that it was in the other glass,N,36,Male,6,6,cooperation,8
102,11/6/17 9:17,11/6/17 9:20,173,Consent Given,the other player,the other player,me,2,1,1,2,2,2,2,2,Nope,,29,Male,2,2,competition,4
103,11/6/17 9:17,11/6/17 9:20,195,Consent Given,the other player,the other player,me,1,1,1,2,2,2,2,1,Yes. I tried to alternate telling him the truth and lying.,Y,31,Male,4,4,competition,8
104,11/6/17 9:15,11/6/17 9:20,281,Consent Given,the other player,the other player,me,,,2,2,1,2,1,2,Always telling them the stickers were under cup 2.,N,50,Female,4,2,competition,8
105,11/6/17 9:16,11/6/17 9:20,230,Consent Given,the other player,the other player,me,2,2,2,2,1,2,2,2,I felt the other player would assume I was lying about the location of the sticker.  Then I guessed they might think I would change my strategy after I lost. ,Y,36,Female,1,3,competition,4
106,11/6/17 9:15,11/6/17 9:20,321,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,1,2,2,1,2,1,The only strategy I used was to make sure the other player guessed the wrong one so we both could get a sticker,N,33,Female,4,4,cooperation,4
107,11/6/17 9:15,11/6/17 9:20,306,Consent Given,the other player,the other player,me,2,2,2,2,1,2,2,1,no,,35,Female,2,2,competition,4
108,11/6/17 9:14,11/6/17 9:20,338,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,2,2,2,1,2,1,2,put in cup 1 tell other person cup two,N,29,Male,6,6,cooperation,8
109,11/6/17 9:17,11/6/17 9:20,169,Consent Given,the other player,the other player,me,1,2,1,1,1,2,1,2,I lied.,Y,39,Male,3,1,competition,4
110,11/6/17 9:14,11/6/17 9:20,360,Consent Given,the other player,the other player,me,2,2,2,1,2,1,1,2,The other player seemed to always pick the cup I suggested so I lied each round.,Y,40,Male,6,2,competition,8
111,11/6/17 9:14,11/6/17 9:20,361,Consent Given,the other player,the other player,me,1,1,1,2,1,2,1,2,"Yes, I told him the sticker was in the cup it wasn't in and they believed me.",N,26,Male,3,1,competition,4
112,11/6/17 9:14,11/6/17 9:20,381,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,2,1,2,1,2,1,"No, I did not use any strategy. ",,57,Female,4,4,cooperation,4
113,11/6/17 9:14,11/6/17 9:20,385,Consent Given,we each get to keep a sheet of stickers,we each get to keep a sheet of stickers,neither of us gets to keep any stickers,2,1,1,2,1,2,2,2,no,,26,Male,6,6,cooperation,8
114,11/6/17 9:16,11/6/17 9:20,233,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,2,1,2,1,2,1,Giving them the wrong information so they would choose the wrong cup.,N,39,Male,4,4,cooperation,4
115,11/6/17 9:15,11/6/17 9:20,306,Consent Given,the other player,me,we each get to keep a sheet of stickers,2,1,2,1,1,1,2,2,NONE,,25,Male,4,4,cooperation,8
116,11/6/17 9:16,11/6/17 9:20,249,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,2,2,1,1,1,2,1,,,24,Male,6,6,cooperation,8
117,11/6/17 9:14,11/6/17 9:20,349,Consent Given,the other player,the other player,me,2,2,2,2,2,2,2,2,"I would tell the truth, and if the other player kept guessing correctly because he or she believed me, after a few more rounds of establishing my trustworthiness I might change the pattern in order to win some stickers for myself.",Y,37,Female,0,8,competition,8
118,11/6/17 9:14,11/6/17 9:20,408,Consent Given,the other player,the other player,me,2,2,2,2,2,1,1,2,At first I chose to tell the truth but it went wrong so I changed the strategy to not telling the truth which worked.,Y,32,Male,4,4,competition,8
119,11/6/17 9:14,11/6/17 9:20,379,Consent Given,the other player,the other player,me,1,1,1,1,2,1,1,2,I thought I would tell the truth at first then lie later.,Y,60,Female,2,2,competition,4
120,11/6/17 9:14,11/6/17 9:20,387,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,2,1,2,1,2,1,2,"yes, I said the sicker was on cup 2 so that the other player would guess 2. after we won the first round I continue to use the same strategy.",N,32,Female,8,8,cooperation,8
121,11/6/17 9:13,11/6/17 9:20,438,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,1,2,1,1,2,2,1,Say they were in the wrong cup. ,N,71,Male,6,6,cooperation,8
122,11/6/17 9:14,11/6/17 9:21,373,Consent Given,the other player,the other player,me,2,2,1,2,2,1,1,2,"Once I realized the other player was always going to guess where I told them the sticker was, I just rotated the sticker and lied about it's location. I knew my first round would probably go to the other player, and I was ok with that. ",Y,25,Other,3,1,competition,4
123,11/6/17 9:14,11/6/17 9:21,381,Consent Given,the other player,the other player,me,1,2,1,1,1,1,2,1,"I tried to change what I did each round to make things more confusing. The first time I hid it under cup 1 and said it was under cup two, but second time I switched it. ",N,26,Female,2,2,competition,4
124,11/6/17 9:18,11/6/17 9:21,160,Consent Given,we each get to keep a sheet of stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,2,2,2,1,1,2,1,Seeing if he listens to me or he doesn't.,N,27,Male,4,4,cooperation,8
